file	error	job.distributed.entity_sync_level	job.distributed.partition_type	negative_sampling.implementation	negative_sampling.num_samples.o	negative_sampling.num_samples.p	negative_sampling.num_samples.s	negative_sampling.sampling_type	negative_sampling.shared	negative_sampling.shared_type	train.type
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-RB-2@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-RL-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-RLB-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-RLB-4@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/relation/complex-freebase-distributed-relation-2@2.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/relation/complex-freebase-distributed-relation-B-2@2.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/relation/complex-freebase-distributed-relation-L-2@2.yaml		batch	relation	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/relation/complex-freebase-distributed-relation-LB-2@2.yaml		batch	relation	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/relation/complex-freebase-distributed-relation-rLB-2@2.yaml		batch	relation	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/stratification/complex-freebase-distributed-stratification-CARB-2@2.yaml		batch	stratification	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/stratification/complex-freebase-distributed-stratification-CARL-2@2.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/stratification/complex-freebase-distributed-stratification-CARLB-2@2.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/graph-cut/rotate-freebase-distributed-graph-cut-L-2@2.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/graph-cut/rotate-freebase-distributed-graph-cut-LB-2@2.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/random/rotate-freebase-distributed-random-2@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/random/rotate-freebase-distributed-random-L-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/random/rotate-freebase-distributed-random-LB-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/random/rotate-freebase-distributed-random-R-2@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/random/rotate-freebase-distributed-random-RB-2@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/random/rotate-freebase-distributed-random-RL-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/random/rotate-freebase-distributed-random-RLB-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/relation/rotate-freebase-distributed-relation-2@2.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/relation/rotate-freebase-distributed-relation-B-2@2.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/relation/rotate-freebase-distributed-relation-L-2@2.yaml		batch	relation	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/relation/rotate-freebase-distributed-relation-LB-2@2.yaml		batch	relation	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/relation/rotate-freebase-distributed-relation-rLB-2@2.yaml		batch	relation	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/rotate-freebase-sequential-B-mm.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/rotate-freebase-sequential-mm.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/stratification/rotate-freebase-distributed-stratification-CARB-2@2.yaml		batch	stratification	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/stratification/rotate-freebase-distributed-stratification-CARL-2@2.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/rotate/stratification/rotate-freebase-distributed-stratification-CARLB-2@2.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-graph-cut-L-1@2.yaml		batch	graph-cut	batch	7851	0	2176	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-random-R-1@2.yaml		batch	random	batch	7851	0	2176	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-random-R-uniform-sampling-1@2.yaml		batch	random	batch	236	0	66	uniform	False	default	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-random-R-uniform-setting-shared-1@2.yaml		batch	random	batch	236	0	66	uniform	True	default	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-relation-1@2.yaml		batch	relation	batch	7851	0	2176	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-stratification-CARL-1@2.yaml		partition	stratification	batch	7851	0	2176	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-stratification-CARL-4@2.yaml		partition	stratification	batch	7851	0	2176	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-distributed-stratification-RL-1@2.yaml		partition	stratification	batch	7851	0	2176	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-parallel-graph-cut-L-2@1.yaml		batch	graph-cut	batch	7851	0	2176	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-parallel-random-R-2@1.yaml		batch	random	batch	7851	0	2176	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-parallel-relation-2@1.yaml		batch	relation	batch	7851	0	2176	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-parallel-stratification-CARL-2@1.yaml		partition	stratification	batch	2048	0	512	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-sequential-mm.yaml		batch	random	batch	7851	0	2176	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/complex/complex-wikidata5m-sequential.yaml		batch	random	batch	7851	0	2176	uniform	True	naive	negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-distributed-graph-cut-L-1@2.yaml		batch	graph-cut	batch	905	0	878	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-distributed-random-R-1@2.yaml		batch	random	batch	905	0	878	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-distributed-relation-1@2.yaml	expected '<document start>', but found '<block mapping start>'
  in "<unicode string>", line 2, column 1:
    entity_ranking:
    ^										
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-distributed-stratification-ARL-1@2.yaml		partition	stratification	batch	905	0	878	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-distributed-stratification-CARL-1@2.yaml		partition	stratification	batch	905	0	878	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-parallel-graph-cut-L-2@1.yaml		batch	graph-cut	batch	905	0	878	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-parallel-random-R-2@1.yaml		batch	random	batch	905	0	878	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-parallel-relation-2@1.yaml		batch	relation	batch	905	0	878	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-parallel-stratification-ARL-2@1.yaml		partition	stratification	batch	905	0	878	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-parallel-stratification-CARL-2@1.yaml		partition	stratification	batch	905	0	878	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-sequential-mm.yaml		batch	random	batch	905	0	878	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/wikidata5m/dim128/rotate/rotate-wikidata5m-sequential.yaml		batch	random	batch	905	0	878	uniform	True	naive	negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-graph-cut-L-1@2.yaml		batch	graph-cut	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-random-R-1@2.yaml		batch	random	batch	8942	0	8919	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-random-R-uniform-sampling-1@2.yaml		batch	random	batch	894	0	892	uniform	False	default	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-random-R-uniform-setting-shared-1@2.yaml		batch	random	batch	894	0	892	uniform	True	default	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-random-RL-1@2.yaml		batch	random	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-random-RL-4@2.yaml		batch	random	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-relation-1@2.yaml		batch	relation	batch	8942	0	8919	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-stratification-CRL-1@2.yaml		partition	stratification	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-stratification-CRL-4@2.yaml		partition	stratification	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-distributed-stratification-RL-1@2.yaml		partition	stratification	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-parallel-graph-cut-L-2@1.yaml		batch	graph-cut	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-parallel-random-R-2@1.yaml		batch	random	batch	8942	0	8919	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-parallel-relation-2@1.yaml		batch	relation	batch	8942	0	8919	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-parallel-stratification-CRL-2@1.yaml		partition	stratification	batch	8942	0	8919	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-sequential-mm.yaml		batch	random	batch	8942	0	8919	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/complex/complex-yago3-10-sequential.yaml		batch	random	batch	8942	0	8919	uniform	True	naive	negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-distributed-graph-cut-L-1@2.yaml		batch	graph-cut	batch	1788	0	1784	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-distributed-random-R-1@2.yaml		batch	random	batch	1788	0	1784	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-distributed-relation-1@2.yaml		batch	relation	batch	1788	0	1784	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-distributed-stratification-CARL-1@2.yaml		partition	stratification	batch	1788	0	1784	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-parallel-graph-cut-L-2@1.yaml		batch	graph-cut	batch	1788	0	1784	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-parallel-random-R-2@1.yaml		batch	random	batch	1788	0	1784	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-parallel-relation-2@1.yaml		batch	relation	batch	1788	0	1784	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-parallel-stratification-CARL-2@1.yaml		partition	stratification	batch	1788	0	1784	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-sequential-mm.yaml		batch	random	batch	1788	0	1784	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/yago3-10/dim128/rotate/rotate-yago3-10-sequential.yaml		batch	random	batch	1788	0	1784	uniform	True	naive	negative_sampling
